VIN,Model,Build_Date,Production_Line,Status,Plant_Location,Engine_Type,Color,Options
1C4RLF8FC123456,Contoso Hauler 500,2024-01-15,Line A,Completed,Detroit Plant,High-Performance Diesel Block Model-2,White,"Air Conditioning, GPS Navigation"
1C4RLF8FC123457,Contoso Ranger X,2024-01-16,Line B,Completed,Chicago Plant,V6 Turbocharged Diesel Model-1,Red,"Premium Sound, Leather Seats"
1C4RLF8FC123458,Contoso Titan Pro,2024-01-17,Line C,Completed,Dallas Plant,Heavy-Duty Inline-4 Engine Model-2,Blue,"Cargo Management System, Safety Package"
1C4RLF8FC123459,Contoso Hauler 500,2024-01-18,Line A,In Progress,Detroit Plant,High-Performance Diesel Block Model-2,Black,"Air Conditioning, Trailer Hitch"
1C4RLF8FC123460,Contoso Ranger X,2024-01-19,Line B,Quality Check,Chicago Plant,V6 Turbocharged Diesel Model-1,Silver,"Off-Road Package, Premium Sound"
1C4RLF8FC123461,Contoso Titan Pro,2024-01-20,Line C,Completed,Dallas Plant,Heavy-Duty Inline-4 Engine Model-2,Green,"Heavy-Duty Suspension, Cargo Management"
1C4RLF8FC123462,Contoso Hauler 500,2024-01-21,Line A,Shipped,Detroit Plant,High-Performance Diesel Block Model-2,White,"GPS Navigation, Fleet Monitoring"
1C4RLF8FC123463,Contoso Ranger X,2024-01-22,Line B,Completed,Chicago Plant,V6 Turbocharged Diesel Model-1,Yellow,"Premium Interior, Safety Package"
1C4RLF8FC123464,Contoso Titan Pro,2024-01-23,Line C,In Progress,Dallas Plant,Heavy-Duty Inline-4 Engine Model-2,Orange,"Heavy Duty Brakes, Extended Warranty"
1C4RLF8FC123465,Contoso Hauler 500,2024-01-24,Line A,Quality Check,Detroit Plant,High-Performance Diesel Block Model-2,Gray,"Air Conditioning, Backup Camera"
1C4RLF8FC123466,Contoso Ranger X,2024-01-25,Line B,Shipped,Chicago Plant,V6 Turbocharged Diesel Model-1,Black,"Off-Road Tires, Winch Kit"
1C4RLF8FC123467,Contoso Titan Pro,2024-01-26,Line C,Completed,Dallas Plant,Heavy-Duty Inline-4 Engine Model-2,Red,"Commercial Package, Fleet Tracking"
1C4RLF8FC123468,Contoso Hauler 500,2024-01-27,Line A,In Progress,Detroit Plant,High-Performance Diesel Block Model-2,Blue,"Premium Sound, Trailer Package"
1C4RLF8FC123469,Contoso Ranger X,2024-01-28,Line B,Completed,Chicago Plant,V6 Turbocharged Diesel Model-1,White,"Leather Seats, Navigation System"
1C4RLF8FC123470,Contoso Titan Pro,2024-01-29,Line C,Quality Check,Dallas Plant,Heavy-Duty Inline-4 Engine Model-2,Silver,"Safety Suite, Cargo Liner"
1C4RLF8FC123471,Contoso Hauler 500,2024-01-30,Line A,Shipped,Detroit Plant,High-Performance Diesel Block Model-2,Green,"Air Conditioning, Power Windows"
1C4RLF8FC123472,Contoso Ranger X,2024-01-31,Line B,Completed,Chicago Plant,V6 Turbocharged Diesel Model-1,Purple,"Off-Road Package, LED Lighting"
1C4RLF8FC123473,Contoso Titan Pro,2024-02-01,Line C,In Progress,Dallas Plant,Heavy-Duty Inline-4 Engine Model-2,Black,"Commercial Interior, Tool Storage"
1C4RLF8FC123474,Contoso Hauler 500,2024-02-02,Line A,Completed,Detroit Plant,High-Performance Diesel Block Model-2,Yellow,"GPS Navigation, Cruise Control"
1C4RLF8FC123475,Contoso Ranger X,2024-02-03,Line B,Quality Check,Chicago Plant,V6 Turbocharged Diesel Model-1,Orange,"Premium Package, Sunroof"
1C4RLF8FC123476,Contoso Titan Pro,2024-02-04,Line C,Shipped,Dallas Plant,Heavy-Duty Inline-4 Engine Model-2,Gray,"Heavy-Duty Package, Extended Cab"
1C4RLF8FC123477,Contoso Hauler 500,2024-02-05,Line A,In Progress,Detroit Plant,High-Performance Diesel Block Model-2,Red,"Fleet Package, Backup Sensors"
1C4RLF8FC123478,Contoso Ranger X,2024-02-06,Line B,Completed,Chicago Plant,V6 Turbocharged Diesel Model-1,Blue,"Adventure Package, Roof Rack"
1C4RLF8FC123479,Contoso Titan Pro,2024-02-07,Line C,Quality Check,Dallas Plant,Heavy-Duty Inline-4 Engine Model-2,White,"Commercial Suite, Ladder Rack"
1C4RLF8FC123480,Contoso Hauler 500,2024-02-08,Line A,Shipped,Detroit Plant,High-Performance Diesel Block Model-2,Silver,"Premium Interior, Heated Seats"